"Random","ACHP","PHR","AWWGV","ALAP","ANPL","ARD","ADWR","PDMVG","ARL","AWWR","ADWV","PDMRG","Class"
"R3",36.2877217297622,45.5985846885257,1.35379007294543,981.460993381278,3.99862086692192,16.9916027713175,0.760841705184583,31.4036391634549,17.3248606371313,2.74538224793556,0.435148374961404,27.9270171778309,"SA"
"R1",34.4988694490324,54.5562467746708,1.16505607417043,1284.23764483221,4.99295506743674,16.2672822610457,1.69283516286171,18.4146875256738,19.7159160844234,2.94753205920158,0.218529733645762,57.6272191377424,"SA"
"R2",33.0924475931241,67.0616590578029,1.10309842398796,1009.2188866816,4.99513089406854,15.9647609837937,1.18283821152693,19.3875728710087,20.8243348382411,2.85796539436384,0.209868908164661,41.3180485557153,"SA"
"R2",33.1010535496048,67.0879995263208,1.1036934952782,1009.23092061728,5.01184329575856,15.9636690302249,1.18584346738855,19.4091471310314,20.8418348919775,2.85392075886007,0.21532917209931,41.2940458481581,"SA"
"R1",34.502243046249,54.5440367955546,1.15708904156549,1284.23494991452,5.01325639238826,16.2743797298232,1.70056224929603,18.4054317606188,19.7262537864,2.96397535643933,0.221284877397893,57.6302513032915,"SA"
"R1",34.5058255460847,54.5672615569902,1.15238527025185,1284.24424563967,5.00294891741507,16.2704592640654,1.7213295317614,18.3897181330902,19.7195361279007,2.96896327650365,0.232831429830569,57.6450857589826,"SA"
"R2",33.1047817557674,67.0735840510183,1.10663222277326,1009.21442102274,4.98191203839405,15.953691041018,1.16816454644081,19.3903131350548,20.8257536201498,2.85280419793376,0.240041141074649,41.3023622870512,"SA"
"R2",33.0978574348993,67.0490429709654,1.1070274011273,1009.21837799051,4.98769021705477,15.9682716636578,1.17983117460261,19.3950684247448,20.8413155839596,2.84641497180948,0.210838547112297,41.2986234509124,"SA"
"R3",36.2806858536434,45.5960418741081,1.37347129617651,981.463687903299,3.97746142116556,16.9954542184683,0.775575042540771,31.4041287143155,17.3315193085136,2.76499697529249,0.422974943665288,27.9046454040052,"SA"
"R2",33.1051677091086,67.0716364482532,1.11604833140206,1009.21874693104,5.00180550284366,15.9466920356586,1.17050650130147,19.3853114714499,20.8362652719163,2.84119585400272,0.209804343758116,41.3052078528489,"SA"
